Cliente_ID,Edad,Genero,Ciudad,Plan,Meses_Cliente,Consumo_GB,Llamadas_Min,Pago_Mensual,Reclamos,Soporte_Contactos,Metodo_Pago,Abandono
33,23.0,Masculino,Loja,Premium,47,,705,90.68,3,4,Efectivo,Sí
34,28.0,Masculino,Quito,Básico,8,13.53,789,40.95,0,2,Efectivo,No
35,34.0,Femenino,Cuenca,Básico,48,8.06,926,38.64,0,5,Tarjeta,No
36,50.0,Femenino,Ambato,Estándar,11,49.83,758,58.41,2,4,Efectivo,Sí
37,22.0,Femenino,Loja,Premium,37,96.25,498,112.74,2,1,Tarjeta,No
38,57.0,Masculino,Manta,Estándar,26,46.35,902,46.72,2,3,Transferencia,No
39,19.0,Femenino,Ambato,Premium,34,106.05,591,93.5,1,3,Efectivo,No
40,59.0,Masculino,Cuenca,Premium,20,105.93,949,89.78,2,2,Tarjeta,Sí
41,20.0,Femenino,Quito,Premium,58,90.3,694,97.02,1,1,Tarjeta,Sí
42,29.0,Masculino,Guayaquil,Básico,45,1.74,853,30.29,1,3,Tarjeta,No
43,25.0,Masculino,Cuenca,Estándar,56,43.09,968,49.69,2,2,Transferencia,No
44,60.0,Masculino,Loja,Estándar,35,38.53,175,53.72,1,1,Tarjeta,No
45,34.0,Masculino,Manta,Básico,41,16.87,741,19.12,1,3,Transferencia,Sí
46,51.0,Masculino,Loja,Básico,57,19.83,399,19.6,1,1,Efectivo,Sí
47,41.0,Masculino,Ambato,Premium,40,73.38,375,90.73,5,5,Transferencia,Sí
48,21.0,Femenino,Guayaquil,Estándar,47,50.58,310,38.72,2,3,Efectivo,No
49,27.0,Masculino,Loja,Premium,1,78.46,1168,105.09,0,0,Tarjeta,Sí
50,22.0,Femenino,Guayaquil,Premium,12,91.79,623,92.55,3,5,Tarjeta,Sí
51,62.0,Masculino,Guayaquil,Estándar,40,72.88,870,49.99,1,2,Efectivo,No
52,56.0,Masculino,Loja,Básico,8,24.55,245,30.83,1,6,Transferencia,No
53,19.0,Femenino,Ambato,Estándar,38,59.95,179,51.52,1,3,Efectivo,No
54,48.0,Femenino,Guayaquil,Estándar,27,56.2,190,72.06,1,3,Transferencia,No
55,35.0,Femenino,Quito,Estándar,4,58.71,828,56.09,1,3,Efectivo,Sí
56,18.0,Femenino,Quito,Básico,40,28.75,124,30.28,2,2,Transferencia,Sí
57,19.0,Masculino,Quito,Estándar,43,49.54,226,63.41,0,2,Tarjeta,No
58,60.0,Masculino,Cuenca,Estándar,28,36.72,1001,52.31,1,1,Efectivo,No
59,49.0,Femenino,Cuenca,Estándar,16,67.58,880,40.66,1,3,Tarjeta,No
60,,Femenino,Loja,Premium,10,100.56,810,87.75,6,2,Efectivo,No
61,54.0,Femenino,Quito,Básico,34,25.7,200,23.89,6,1,Tarjeta,Sí
62,36.0,Femenino,Loja,Básico,18,26.96,954,31.65,3,2,Transferencia,No
63,61.0,Femenino,Loja,Básico,59,12.19,543,30.83,3,2,Transferencia,Sí
64,46.0,Masculino,Quito,Básico,17,24.41,695,21.85,1,1,Efectivo,Sí
65,57.0,Masculino,Quito,Básico,10,38.38,868,29.51,2,1,Tarjeta,Sí
66,53.0,Femenino,Cuenca,Estándar,59,48.5,1007,63.24,1,4,Efectivo,Sí
67,62.0,Masculino,Guayaquil,Básico,9,38.39,157,27.6,0,3,Efectivo,Sí
68,47.0,Femenino,Cuenca,Básico,59,14.73,710,28.46,1,2,Tarjeta,No
69,40.0,Masculino,Quito,Estándar,18,50.14,1030,55.4,1,2,Transferencia,No
70,24.0,Masculino,Guayaquil,Básico,48,28.43,664,24.59,0,3,Tarjeta,No
71,31.0,Masculino,Guayaquil,Estándar,34,46.29,65,50.66,2,3,Tarjeta,No
72,59.0,Masculino,Loja,Premium,34,42.57,294,73.59,0,5,Tarjeta,No
73,33.0,Masculino,Quito,Premium,5,54.83,481,64.77,1,2,Tarjeta,No
74,63.0,Femenino,Loja,Básico,4,12.93,60,28.77,0,2,Transferencia,Sí
75,30.0,Masculino,Guayaquil,Premium,8,91.09,308,88.54,3,1,Transferencia,Sí
76,22.0,Masculino,Guayaquil,Básico,50,10.61,1001,28.13,3,2,Efectivo,No
77,45.0,Femenino,Guayaquil,Estándar,25,47.75,503,54.31,1,2,Tarjeta,No
78,65.0,Femenino,Quito,Estándar,29,39.56,830,20.19,3,4,Efectivo,Sí
79,62.0,Masculino,Loja,Estándar,38,68.38,131,65.09,0,4,Transferencia,No
80,31.0,Femenino,Quito,Estándar,13,42.62,1043,47.18,3,3,Efectivo,No
81,45.0,Femenino,Guayaquil,Estándar,50,54.9,753,56.76,1,3,,Sí
82,46.0,Masculino,Cuenca,Estándar,12,70.7,508,66.04,0,0,Transferencia,No
83,40.0,Femenino,Ambato,Estándar,39,23.61,1038,40.52,2,3,Tarjeta,No
84,64.0,Femenino,Ambato,Estándar,57,69.92,541,42.73,1,3,Efectivo,No
85,25.0,Masculino,Ambato,Básico,50,10.51,576,29.21,2,0,Tarjeta,No
86,47.0,Femenino,Cuenca,Básico,36,13.94,1137,31.87,1,1,Tarjeta,No
87,,Femenino,Loja,Básico,46,14.49,1159,29.13,6,1,Tarjeta,Sí
88,27.0,Femenino,Loja,Estándar,30,51.1,920,65.23,0,0,Transferencia,No
89,63.0,Masculino,Cuenca,Estándar,3,51.59,1157,58.52,3,4,Transferencia,Sí
90,39.0,Masculino,Manta,Estándar,42,76.19,358,59.01,2,3,Efectivo,No
91,49.0,Masculino,Manta,Estándar,22,55.24,402,72.28,1,1,Efectivo,No
92,29.0,Femenino,Quito,Básico,24,24.02,469,29.54,1,2,Transferencia,No
93,51.0,Femenino,Loja,Estándar,51,43.13,989,38.67,1,3,Transferencia,No
94,31.0,Femenino,Quito,Estándar,41,48.3,940,47.96,1,2,Tarjeta,No
95,45.0,Masculino,Guayaquil,Básico,40,29.29,893,23.53,2,2,Transferencia,No
96,58.0,Masculino,Quito,Estándar,1,33.3,205,61.49,1,2,Efectivo,No
97,32.0,Femenino,Manta,Estándar,14,50.53,1132,49.84,0,2,,Sí
98,50.0,Femenino,Guayaquil,Estándar,31,54.16,795,64.16,1,2,Efectivo,Sí
99,25.0,Femenino,Quito,Premium,32,76.99,637,94.15,2,3,Efectivo,No
100,25.0,Femenino,Loja,Estándar,31,59.02,624,56.81,2,0,Tarjeta,No
101,50.0,Masculino,Loja,Estándar,13,55.06,871,58.21,1,6,Efectivo,No
102,42.0,Femenino,Cuenca,Básico,15,32.69,916,36.69,2,1,Transferencia,Sí
103,31.0,Femenino,Cuenca,Estándar,26,41.8,993,32.51,4,1,Efectivo,Sí
104,23.0,Femenino,Quito,Estándar,21,71.85,764,56.79,0,0,Efectivo,No
105,32.0,Masculino,Guayaquil,Básico,14,19.24,719,23.01,1,1,Transferencia,No
106,,Masculino,Guayaquil,Básico,11,18.2,494,25.09,0,2,Transferencia,No
107,53.0,Masculino,Guayaquil,Estándar,47,22.68,633,59.77,4,1,Tarjeta,No
108,43.0,Femenino,Quito,Básico,36,12.7,680,35.35,2,3,Tarjeta,No
109,34.0,Masculino,Manta,Básico,7,14.08,686,24.68,1,2,Efectivo,No
110,58.0,Masculino,Ambato,Estándar,42,43.59,610,58.03,2,3,Transferencia,No
111,22.0,Femenino,Ambato,Básico,8,26.59,711,23.27,2,4,Transferencia,No
112,53.0,Femenino,Cuenca,Premium,55,103.89,286,109.67,1,2,Efectivo,No
113,45.0,Femenino,Ambato,Premium,30,105.79,787,78.7,2,1,Tarjeta,No
114,31.0,Femenino,Guayaquil,Básico,41,,360,26.59,0,3,Transferencia,No
115,52.0,Masculino,Loja,Estándar,52,72.72,183,71.9,0,1,Efectivo,No
116,33.0,Femenino,Quito,Básico,35,27.85,213,27.27,0,4,Efectivo,Sí
117,31.0,Masculino,Ambato,Básico,6,19.08,1085,31.43,0,1,,Sí
118,48.0,Masculino,Cuenca,Estándar,6,48.27,336,45.61,0,0,Efectivo,No
119,22.0,Femenino,Loja,Estándar,11,49.25,932,48.11,2,1,Efectivo,Sí
120,33.0,Femenino,Manta,Estándar,40,66.18,532,70.21,2,3,Efectivo,No
121,44.0,Masculino,Quito,Estándar,22,59.11,1086,60.41,2,3,Tarjeta,No
122,43.0,Femenino,Ambato,Básico,35,24.63,595,29.92,1,1,Transferencia,Sí
123,57.0,Femenino,Ambato,Premium,42,96.42,281,105.18,4,2,Tarjeta,No
124,45.0,Masculino,Manta,Estándar,8,53.59,1081,62.42,1,2,Tarjeta,No
125,25.0,Femenino,Guayaquil,Básico,24,21.48,415,28.17,0,0,Efectivo,No
126,69.0,Masculino,Ambato,Estándar,43,56.44,409,44.53,2,0,Tarjeta,No
127,26.0,Masculino,Ambato,Básico,4,17.99,572,28.39,3,4,Transferencia,Sí
128,32.0,Femenino,Quito,Básico,40,21.61,937,25.85,1,3,Tarjeta,Sí
129,52.0,Masculino,Quito,Estándar,12,45.68,583,62.46,2,5,Tarjeta,No
130,30.0,Masculino,Loja,Básico,27,14.79,68,32.0,2,2,Efectivo,No
131,46.0,Masculino,Cuenca,Básico,37,21.64,498,35.01,0,1,Efectivo,Sí
132,49.0,Femenino,Ambato,Premium,21,111.56,258,70.6,2,3,Transferencia,No
133,31.0,Femenino,Guayaquil,Estándar,16,63.47,585,62.74,0,3,Transferencia,No
134,52.0,Masculino,Ambato,Básico,45,16.71,949,28.03,0,3,Transferencia,No
135,41.0,Femenino,Guayaquil,Estándar,19,59.93,1047,48.75,1,0,Tarjeta,No
136,48.0,Masculino,Ambato,Premium,30,97.39,812,55.44,1,0,Efectivo,No
137,28.0,Femenino,Manta,Estándar,6,43.52,549,46.21,2,2,Tarjeta,No
138,27.0,Femenino,Quito,Básico,17,26.17,966,27.36,2,2,Transferencia,No
139,22.0,Femenino,Quito,Estándar,39,51.7,1034,50.13,1,2,Tarjeta,No
140,47.0,Femenino,Cuenca,Básico,14,12.37,645,25.23,1,3,Transferencia,No
141,60.0,Femenino,Manta,Básico,7,27.07,541,17.88,0,2,Transferencia,Sí
142,54.0,Femenino,Quito,Premium,26,64.91,494,101.91,0,1,Tarjeta,No
143,50.0,Femenino,Loja,Básico,7,13.52,659,26.33,3,3,Tarjeta,No
144,27.0,Masculino,Cuenca,Básico,48,36.08,610,27.76,2,1,Efectivo,No
145,38.0,Femenino,Ambato,Básico,22,13.85,831,35.81,0,0,Efectivo,No
146,58.0,Femenino,Quito,Estándar,2,69.06,428,58.67,0,3,Transferencia,Sí
147,60.0,Femenino,Guayaquil,Estándar,28,52.41,877,36.69,1,2,Transferencia,No
148,29.0,Femenino,Cuenca,Básico,27,30.38,662,22.17,2,1,Transferencia,No
149,23.0,Masculino,Manta,Premium,1,112.85,180,77.11,3,2,Tarjeta,Sí
150,21.0,Femenino,Ambato,Estándar,29,57.16,1035,46.95,2,5,Tarjeta,No
151,45.0,Femenino,Cuenca,Premium,52,82.66,980,86.42,2,3,Tarjeta,No
152,37.0,Masculino,Cuenca,Estándar,56,41.89,565,51.82,0,2,,No
153,42.0,Masculino,Cuenca,Básico,57,18.46,456,27.03,1,5,Efectivo,No
154,44.0,Masculino,Loja,Básico,53,15.37,203,23.43,1,1,Transferencia,No
155,40.0,Femenino,Loja,Básico,28,27.08,725,32.7,0,4,Tarjeta,No
156,47.0,Femenino,Guayaquil,Básico,14,24.23,744,21.5,1,2,Tarjeta,No
157,66.0,Masculino,Quito,Básico,46,16.03,1108,21.87,2,2,Tarjeta,Sí
158,51.0,Femenino,Manta,Premium,47,143.75,455,99.8,0,2,Tarjeta,No
159,68.0,Femenino,Cuenca,Estándar,55,64.4,1000,60.8,1,2,Tarjeta,No
160,18.0,Femenino,Guayaquil,Básico,18,18.28,490,34.53,1,0,Tarjeta,Sí
161,62.0,Femenino,Ambato,Estándar,45,35.12,914,59.52,2,1,,No
162,56.0,Masculino,Cuenca,Premium,43,144.62,232,97.2,0,2,Tarjeta,No
163,56.0,Femenino,Guayaquil,Estándar,1,42.17,569,51.01,3,2,Tarjeta,No
164,44.0,Femenino,Ambato,Básico,49,24.28,1186,34.05,2,2,Tarjeta,Sí
165,29.0,Femenino,Quito,Básico,29,18.65,820,32.56,2,0,Transferencia,No
166,44.0,Masculino,Cuenca,Estándar,30,51.4,1035,67.82,0,0,Tarjeta,No
167,38.0,Femenino,Ambato,Premium,24,60.3,244,87.38,3,2,Efectivo,No
168,58.0,Masculino,Ambato,Estándar,58,,470,62.93,1,2,Tarjeta,No
169,18.0,Masculino,Quito,Premium,18,47.68,625,93.41,1,0,Tarjeta,No
170,25.0,Femenino,Loja,Básico,45,16.3,412,39.46,1,2,Efectivo,Sí
171,59.0,Masculino,Cuenca,Básico,53,16.45,480,25.81,2,4,Transferencia,No
172,69.0,Masculino,Manta,Básico,13,23.18,991,29.91,3,1,Efectivo,Sí
173,61.0,Femenino,Guayaquil,Básico,1,30.08,153,30.85,1,3,Transferencia,No
174,41.0,Femenino,Manta,Estándar,28,34.69,444,50.52,3,2,Efectivo,No
175,45.0,Femenino,Cuenca,Básico,58,35.74,456,28.19,1,4,Efectivo,Sí
176,44.0,Masculino,Quito,Estándar,51,46.76,786,82.16,2,5,Efectivo,Sí
177,55.0,Femenino,Ambato,Básico,50,13.1,243,33.61,3,0,Tarjeta,Sí
178,41.0,Masculino,Manta,Estándar,35,51.69,50,69.47,3,0,Efectivo,No
179,54.0,Femenino,Loja,Básico,35,21.16,1148,30.9,1,1,Efectivo,No
180,25.0,Femenino,Manta,Básico,40,21.71,233,20.53,0,2,Efectivo,Sí
181,48.0,Masculino,Quito,Básico,14,14.96,962,34.36,0,1,Tarjeta,No
182,47.0,Femenino,Loja,Premium,57,114.06,461,65.21,1,4,Transferencia,No
183,69.0,Femenino,Guayaquil,Básico,4,6.09,1148,32.62,0,2,Tarjeta,Sí
184,29.0,Masculino,Manta,Estándar,22,61.16,717,62.07,1,1,Efectivo,No
185,18.0,Femenino,Manta,Básico,4,21.52,978,35.35,4,1,Efectivo,Sí
186,42.0,Masculino,Guayaquil,Estándar,33,64.83,962,64.65,1,3,Tarjeta,No
187,65.0,Femenino,Manta,Básico,48,28.89,446,29.63,0,2,Efectivo,No
188,19.0,Femenino,Ambato,Básico,56,36.83,989,28.15,3,2,Tarjeta,No
189,45.0,Femenino,Manta,Estándar,43,48.22,607,56.92,1,0,Tarjeta,No
190,54.0,Masculino,Quito,Premium,14,106.26,789,97.55,1,2,Transferencia,Sí
191,43.0,Femenino,Manta,Estándar,47,41.32,224,65.54,0,0,Transferencia,No
192,58.0,Masculino,Quito,Básico,58,14.06,209,34.9,1,3,Efectivo,No
193,25.0,Femenino,Guayaquil,Estándar,22,67.88,1177,52.77,0,5,Tarjeta,No
194,22.0,Femenino,Quito,Estándar,32,,75,67.92,0,1,Tarjeta,No
195,27.0,Masculino,Quito,Básico,31,20.48,735,34.52,1,2,Transferencia,No
196,43.0,Masculino,Loja,Básico,50,18.75,1166,24.55,2,6,Tarjeta,No
197,60.0,Masculino,Loja,Estándar,44,57.18,935,31.24,1,5,Transferencia,No
198,43.0,Masculino,Cuenca,Básico,34,26.08,803,32.68,4,3,Transferencia,Sí
199,46.0,Femenino,Manta,Estándar,42,47.51,938,61.18,1,2,Tarjeta,No
200,20.0,Femenino,Manta,Premium,25,102.3,1164,89.89,2,5,Transferencia,Sí
201,21.0,Masculino,Cuenca,Premium,5,103.15,873,97.31,0,2,Efectivo,No
202,38.0,Masculino,Cuenca,Estándar,7,61.49,161,46.95,5,1,Efectivo,No
203,63.0,Masculino,Guayaquil,Básico,3,25.68,1077,30.06,0,1,Efectivo,No
204,51.0,Masculino,Guayaquil,Premium,23,96.39,729,63.32,2,2,Efectivo,No
205,56.0,Femenino,Quito,Básico,51,14.01,355,24.85,0,1,Transferencia,No
206,54.0,Femenino,Cuenca,Estándar,48,55.54,211,50.36,4,2,Efectivo,No
207,26.0,Masculino,Cuenca,Básico,17,38.4,1154,28.38,1,2,Tarjeta,No
208,41.0,Femenino,Manta,Básico,58,21.76,610,28.63,2,2,Efectivo,No
209,62.0,Masculino,Loja,Premium,15,88.5,875,54.13,1,1,Tarjeta,No
210,31.0,Masculino,Cuenca,Premium,29,72.02,765,91.98,3,3,Efectivo,No
211,60.0,Masculino,Cuenca,Premium,23,72.74,1064,82.82,2,0,Efectivo,No
212,68.0,Femenino,Quito,Básico,49,21.15,566,28.15,0,1,Tarjeta,No
213,45.0,Femenino,Loja,Estándar,19,29.51,440,49.64,1,1,Efectivo,No
214,40.0,Femenino,Loja,Básico,56,16.04,730,37.6,4,2,Tarjeta,No
215,35.0,Femenino,Cuenca,Estándar,12,38.85,268,36.54,0,4,Tarjeta,No
216,64.0,Masculino,Quito,Premium,44,84.57,609,81.8,1,3,Transferencia,No
217,58.0,Femenino,Quito,Estándar,59,38.27,132,76.55,2,3,Tarjeta,Sí
218,27.0,Masculino,Quito,Básico,32,23.36,416,28.07,0,3,Efectivo,No
219,21.0,Femenino,Quito,Estándar,57,66.58,118,72.5,2,2,Efectivo,No
220,65.0,Masculino,Manta,Premium,58,52.45,553,75.4,2,2,Transferencia,No
221,20.0,Masculino,Loja,Estándar,46,60.65,598,63.69,2,2,Tarjeta,No
222,35.0,Masculino,Loja,Estándar,43,40.99,561,76.41,3,1,Efectivo,No
223,30.0,Femenino,Guayaquil,Básico,54,20.03,170,26.55,0,1,Tarjeta,No
224,55.0,Masculino,Guayaquil,Básico,7,11.69,326,32.71,3,0,Tarjeta,No
225,69.0,Masculino,Manta,Premium,55,101.39,596,82.61,2,3,Efectivo,No
226,39.0,Femenino,Ambato,Estándar,12,52.61,544,57.84,3,1,Efectivo,Sí
227,62.0,Masculino,Ambato,Básico,22,33.96,723,30.56,1,3,Tarjeta,No
228,59.0,Masculino,Loja,Estándar,15,43.22,979,41.22,3,5,Tarjeta,Sí
229,65.0,Masculino,Guayaquil,Premium,29,128.63,866,89.37,2,0,Efectivo,No
230,18.0,Masculino,Cuenca,Básico,53,11.1,996,43.1,0,5,Transferencia,No
231,58.0,Femenino,Loja,Estándar,41,50.53,765,68.32,2,3,Efectivo,Sí
232,57.0,Masculino,Loja,Premium,45,78.81,255,92.87,3,1,Efectivo,No
233,21.0,Femenino,Quito,Estándar,43,65.3,299,63.97,4,1,Transferencia,Sí
234,54.0,Femenino,Loja,Estándar,52,36.44,974,68.38,0,3,Transferencia,No
235,,Masculino,Quito,Básico,26,35.92,1113,23.69,3,2,Tarjeta,Sí
236,19.0,Masculino,Cuenca,Estándar,15,60.83,727,55.16,2,3,Efectivo,No
237,47.0,Femenino,Loja,Básico,21,20.91,389,36.49,1,2,Tarjeta,No
238,45.0,Masculino,Manta,Básico,21,17.92,279,21.5,5,1,Transferencia,No
239,19.0,Masculino,Manta,Estándar,38,,852,60.92,0,6,Efectivo,Sí
240,38.0,Masculino,Ambato,Estándar,48,57.69,256,36.88,1,0,Efectivo,No
241,52.0,Femenino,Cuenca,Premium,19,59.45,1043,63.73,3,2,Efectivo,No
242,45.0,Femenino,Manta,Estándar,25,60.62,620,61.26,3,1,Efectivo,No
243,,Femenino,Quito,Estándar,7,44.18,424,47.58,1,4,Efectivo,Sí
244,60.0,Femenino,Loja,Estándar,38,44.44,925,74.06,2,1,Efectivo,No
245,39.0,Masculino,Quito,Estándar,55,58.86,980,57.07,2,3,Efectivo,No
246,37.0,Masculino,Quito,Básico,57,32.86,1137,34.33,2,1,Transferencia,No
247,47.0,Femenino,Ambato,Básico,7,22.06,832,37.17,0,1,Tarjeta,No
248,37.0,Femenino,Quito,Premium,40,80.74,686,64.47,0,2,Tarjeta,No
249,49.0,Masculino,Quito,Premium,5,120.01,1138,102.77,2,1,Efectivo,Sí
250,48.0,Masculino,Manta,Básico,13,1.42,898,24.07,1,2,Tarjeta,Sí
48,21.0,Femenino,Guayaquil,Estándar,47,50.58,310,38.72,2,3,Efectivo,No
94,31.0,Femenino,Quito,Estándar,41,48.3,940,47.96,1,2,Tarjeta,No
143,50.0,Femenino,Loja,Básico,7,13.52,659,26.33,3,3,Tarjeta,No
209,62.0,Masculino,Loja,Premium,15,88.5,875,54.13,1,1,Tarjeta,No
228,59.0,Masculino,Loja,Estándar,15,43.22,979,41.22,3,5,Tarjeta,Sí
